"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Source","Mock Dependencies in Test Case...","Ctrl+Alt+Shift+M","Editing Java Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Run Tests","Ctrl+R","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"View","Zoom Out","Ctrl+-","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Navigate","Next Page","Alt+F7","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"MoreUnit","Jump to Test/Source","Ctrl+J","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"File","Properties","Alt+Enter","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Source","Run Tests of Selected Member","Ctrl+Alt+Shift+R","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Source","Create Test Method","Ctrl+U","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"File","New","Ctrl+N","In Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"MoreUnit","Jump to Test/Source","Ctrl+J","Editing Java Source"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Edit","Context Information","Alt+?","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
